"R0000100","R0069500","R0536300","R0536402","R0538700","R0554500","R0554800","R1201300","R1236000","R1482600","R1487700","R2463300","R2600200","R2729700","R3481900","R3776700","R3876300","R3884701","R3885200","R3885300","R3885400","R3899100","R3923600","R3925200","R3925300","R5511700","R9829600","S7513500","S7521300","S7521400","S7521500","S7521600","S7521700","S7521800","S7521900","S7522000","S7522100","T0013900","T0022000","T0022100","T0022200","T0022300","T0022400","T0022500","T0022600","T0022700","Z9083800"
1,1,2,1981,1,1,1,3,-3,4,0,3,2,3,1,3,18,12,1,6,0,1,2,1,2,13,45070,16,2143,-4,-4,-4,-4,-4,-4,-4,-4,16,2473,2622,-4,-4,-4,-4,-4,-4,16
2,1,1,1982,5,-4,-4,-4,2,2,1,3,2,2,1,3,17,11,2,4,2,1,2,0,1,16,58483,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,14
3,2,2,1983,5,1,-2,1,2,2,1,3,4,1,3,3,16,10,4,2,1,1,3,0,2,19,27978,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
4,2,2,1981,5,1,1,3,2,2,0,3,2,1,1,3,18,12,4,2,0,1,2,0,1,18,37012,13,1538,-4,-4,-4,-4,-4,-4,-4,-4,13,1868,-4,-4,-4,-4,-4,-4,-4,13
5,2,1,1982,1,-2,-2,3,3,2,5,3,-3,3,1,3,17,11,1,4,2,1,-3,3,2,14,-4,12,1200,2667,-4,-4,-4,-4,-4,-4,-4,12,1301,-4,-4,-4,-4,-4,-4,-4,12
6,2,2,1982,5,2,2,1,4,2,1,3,4,1,1,3,17,11,4,5,3,1,4,0,0,14,22001,12,1190,-4,-4,-4,-4,-4,-4,-4,-4,12,1304,-4,-4,-4,-4,-4,-4,-4,14
7,2,1,1983,5,2,2,1,1,2,0,2,4,1,3,3,16,-3,4,5,2,1,4,1,1,16,3585,11,1000,1500,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
8,2,2,1981,1,2,-2,3,2,4,0,3,2,3,1,3,18,12,1,5,1,1,2,0,2,14,-4,16,2000,-4,-4,-4,-4,-4,-4,-4,-4,16,2000,-4,-4,-4,-4,-4,-4,-4,18
9,2,1,1982,1,2,-2,3,3,4,0,3,-3,3,2,3,17,11,1,5,2,1,-3,0,1,13,-4,17,1584,2000,-4,-4,-4,-4,-4,-4,-4,17,1752,2500,-4,-4,-4,-4,-4,-4,18
10,1,1,1984,1,2,-2,3,3,4,1,1,2,3,2,3,15,9,1,5,1,1,2,0,0,15,-4,16,1200,-4,-4,-4,-4,-4,-4,-4,-4,16,1679,1250,-4,-4,-4,-4,-4,-4,16
